time_s,ch0_adc,ch1_adc,ch2_adc,ch3_adc,tmin_adc,tmax_adc
1.8616628646850586,380,434,426,433,1200,2000
1.9202330112457275,415,428,381,405,1200,2000
1.98366379737854,403,419,427,376,1200,2000
2.038274049758911,396,363,409,388,1200,2000
2.092136859893799,407,425,402,415,1200,2000
2.145702838897705,423,434,384,422,1200,2000
2.195748805999756,375,398,405,397,1200,2000
2.246652841567993,371,393,409,370,1200,2000
2.2828919887542725,389,420,421,364,1200,2000
2.335340976715088,390,413,402,371,1200,2000
2.385469913482666,473,411,404,411,1200,2000
2.4423418045043945,486,463,502,468,1200,2000
2.501394033432007,498,544,502,512,1200,2000
2.5612847805023193,576,538,550,540,1200,2000
2.615412950515747,645,626,600,615,1200,2000
2.6751370429992676,657,659,648,702,1200,2000
2.725381851196289,739,674,732,703,1200,2000
2.7729969024658203,715,769,765,735,1200,2000
2.828108072280884,797,810,765,803,1200,2000
2.8791909217834473,856,855,847,848,1200,2000
2.9355227947235107,892,912,846,882,1200,2000
2.98895001411438,916,942,932,920,1200,2000
3.0485498905181885,942,972,1006,932,1200,2000
3.1023199558258057,1050,1042,1025,1049,1200,2000
3.155665874481201,1094,1038,1031,1089,1200,2000
3.2101738452911377,1104,1086,1129,1122,1200,2000
3.2665600776672363,1111,1134,1112,1127,1200,2000
3.315964937210083,1193,1206,1207,1218,1200,2000
3.3734729290008545,1204,1224,1246,1210,1200,2000
3.4182028770446777,1235,1240,1234,1236,1200,2000
3.4708938598632812,1335,1334,1339,1340,1200,2000
3.5272488594055176,1336,1336,1381,1316,1200,2000
3.5821499824523926,1372,1404,1377,1431,1200,2000
3.6414918899536133,1474,1413,1449,1447,1200,2000
3.698629856109619,1490,1504,1454,1514,1200,2000
3.7503528594970703,1521,1556,1532,1565,1200,2000
3.8083488941192627,1545,1587,1575,1568,1200,2000
3.863403081893921,1582,1607,1654,1594,1200,2000
3.922811985015869,1709,1635,1648,1701,1200,2000
3.9739599227905273,1686,1721,1744,1740,1200,2000
4.0268800258636475,1705,1690,1720,1723,1200,2000
4.074438810348511,1651,1708,1663,1698,1200,2000
4.148078918457031,1654,1634,1649,1592,1200,2000
4.2114057540893555,1573,1538,1557,1549,1200,2000
4.264955997467041,1547,1547,1523,1541,1200,2000
4.31472110748291,1484,1502,1468,1485,1200,2000
4.3673059940338135,1421,1423,1387,1393,1200,2000
4.420101881027222,1360,1399,1352,1349,1200,2000
4.472322702407837,1351,1294,1308,1335,1200,2000
4.5261549949646,1269,1287,1246,1305,1200,2000
4.584344863891602,1224,1225,1269,1259,1200,2000
4.639427900314331,1257,1256,1241,1311,1200,2000
4.698798894882202,1319,1300,1296,1324,1200,2000
4.752328872680664,1384,1346,1370,1353,1200,2000
4.807213068008423,1405,1446,1376,1398,1200,2000
4.856806993484497,1411,1423,1458,1462,1200,2000
4.912153959274292,1488,1463,1495,1454,1200,2000
4.969051837921143,1502,1509,1560,1504,1200,2000
5.023936986923218,1543,1572,1616,1589,1200,2000
5.081475734710693,1651,1643,1648,1618,1200,2000
5.140208959579468,1672,1681,1675,1693,1200,2000
5.19477105140686,1649,1628,1644,1646,1200,2000
5.243511915206909,1566,1559,1608,1581,1200,2000
5.300443887710571,1529,1539,1555,1497,1200,2000
5.35447096824646,1496,1454,1445,1458,1200,2000
5.409198760986328,1432,1425,1452,1457,1200,2000
5.470850706100464,1371,1413,1341,1399,1200,2000
5.532983064651489,1391,1419,1395,1419,1200,2000
5.585378885269165,1488,1430,1450,1453,1200,2000
5.637269973754883,1499,1471,1517,1527,1200,2000
5.694533824920654,1571,1584,1572,1587,1200,2000
5.749501943588257,1589,1639,1591,1614,1200,2000
5.807234764099121,1556,1529,1574,1554,1200,2000
5.867279767990112,1453,1518,1529,1455,1200,2000
5.930110931396484,1416,1416,1449,1418,1200,2000
